model	lang	chrf	bleu
bloomz-7b1-p3	zh	52.03	29.66
bloomz-7b1-p3	es	59.21	39.43
bloomz-7b1-p3	ar	57.56	37.48
bloomz-7b1-p3	hi	52.84	31.21
bloomz-7b1-p3	id	53.22	30.51
bloomz-7b1-p3	te	37.32	16.0
bloomz-7b1-p3	sw	42.0	21.67
bloomz-7b1-p3	eu	42.41	20.39
bloomz-7b1-p3	my	9.71	0.02
bloomz-7b1-p3	avg	44.42	24.36
